Post Caption,Sentiment Polarity,Hashtags? (Y/N),Mentions? (Y/N),Hashtags List,Mentions List,Time of Day of Post,Day of Week,Date of Post,Video? (Y/N),Dimensions,Likes,Comments,Engagement Rate (%)
"The 1967 Shelby Mustang GT-500 is one of the most famous cars ever. 
#AutoFactFriday #DontDriveDirty",0.5,Y,N,"AutoFactFriday, DontDriveDirty",,06:01:56,Friday,2018-02-23,N,490x490,23,1,2400.0
The #duckbath is calling....#dontdrivedirty,0.0,Y,N,duckbath,,19:13:42,Saturday,2015-02-07,N,640x640,7,1,800.0
"We can barely remember the cold days, but we'll never forget the Grand Opening of our second car wash in Bountiful. We partnered with Make-A-Wish Utah to make wishes come true for children like Jason. With the generous help of the community, we raised $5,000 for Jason's wish for a hot tub. As we kicked off our 12 days of free car washes, we had the pleasure of meeting Quick Quack fans in Bountiful, and gave away one year of free car washes to a lucky few. Thanks for joining in on the fun, stay tuned for a future Quick Quack Grand Opening near you! #QQcares",0.19264705882352942,Y,N,QQcares,,07:01:22,Friday,2021-04-30,Y,1280x720,53,2,5500.0
"“Hey Siri, wash my car”... It’s almost that easy at Quick Quack! Roll through for a quick, fast, fun car wash today! AND free vacuums! #dontdrivedirty",0.3763888888888889,Y,N,dontdrivedirty,,07:36:06,Wednesday,2020-01-08,N,1080x1079,40,0,4000.0
"I’m trying to see something. 🤭 What wash type do you currently have? 

💜 Ceramic Duck 
💚 Lucky Duck
💙 Good Duck 

#QuickQuackCarWash #UnlimitedCarWash #CleanCar #DriveClean #CleanCarGoals",0.3444444444444444,Y,N,"QuickQuackCarWash, UnlimitedCarWash, CleanCar, DriveClean, CleanCarGoals",,14:07:27,Monday,2024-09-30,N,612x612,46,2,4800.0
May November bring you great things!,1.0,N,N,,,11:20:54,Sunday,2015-11-01,N,640x640,2,0,200.0
"It is a criminal offence to drive around in a dirty car in Russia. They take their car washing seriously!

#AUtoFactFriday #DontDriveDirty",-0.47222222222222215,Y,N,"AUtoFactFriday, DontDriveDirty",,13:12:14,Friday,2017-08-11,N,667x667,19,0,1900.0
"✨ GIVEAWAY HAS ENDED! ✨

Exploring Transylvania, we stumbled upon an abandoned car wash and met Count Quackula! 🧛🏻

He's haunted by a ghost and needs our help with a Halloween puzzle challenge to break the curse. Solve the puzzle and win a spooktacular prize.

How to win:
- Tag a friend to break the curse and comment your answer below. 👇

Giveaway ends: October 24 at 11:59 PM",0.8,N,N,,,09:11:28,Tuesday,2023-10-24,N,1080x1350,115,228,34300.0
"Do you still wash your car at home? If you use Quick Quack you could save 50-90 gallons of water per car wash! 
http://qoo.ly/pseqa 
#DontDriveDirty #Environment #",0.41666666666666663,Y,N,"DontDriveDirty, Environment, ",,15:44:03,Thursday,2018-05-31,N,1080x594,15,0,1500.0
#TBT to that time when you found Quackals in the car wash.,0.0,Y,N,TBT,,16:24:09,Thursday,2016-11-10,N,1000x1000,10,0,1000.0
"Do you know why Quick Quack Team Members wear ties? Cleanliness is one of our company values and we believe that this extends beyond just a clean car.
Enter our tie design contest for a chance to see your design worn by our team members, click the link in bio for more information!
#dontdrivedirty #quickquackcarwash #tiedesign",0.44166666666666665,Y,N,"dontdrivedirty, quickquackcarwash, tiedesign",,07:30:12,Thursday,2020-08-06,N,1080x1080,103,0,10300.0
Quackals + Jep & Jessica Robertson from Duck Dynasty = match made in heaven!,0.0,N,N,,,19:00:26,Sunday,2013-08-25,N,612x612,14,0,1400.0
"Happy World Environment Day! 🌍Here at Quick Quack, we care about our planet by maintaining a green and clean, earth-friendly style at our locations. Join us in making our environment a cleaner place and wash at Quick Quack!",0.3833333333333333,N,N,,,16:56:01,Wednesday,2019-06-05,N,1080x1081,46,0,4600.0
"Calling all SACRAMENTO Republic FC fans! Want to win two tickets for tonight's match-up? 
To enter: 
1. Follow our new Sacramento Region Quick Quack page @quickquacksac 
2. Tag a friend
3. Tell us your favorite Quick Quack location.
One lucky winner will be announced at 3:30pm! Tickets will be emailed directly. 
Good luck!
@sacrepublicfc
#sacramento #quickquacksac #carwash #sacrepublicfc #soccer #matchday",0.4849567099567099,Y,Y,"sacramento, quickquacksac, carwash, sacrepublicfc, soccer, matchday","quickquacksac, sacrepublicfc",11:02:09,Wednesday,2018-04-18,N,1000x1000,23,0,2300.0
"Here's some Easter fun for your kids! 
#DontDriveDirty

http://ow.ly/jbHJ30aO6Sk",0.375,Y,N,DontDriveDirty,,17:43:54,Wednesday,2017-04-12,N,1080x1350,21,0,2100.0
"No tricks, but plenty of treats!",0.0,N,N,,,10:54:27,Saturday,2013-10-05,N,640x640,7,0,700.0
#AutoFactFriday There were only 107 models of the Ford GT40 made of which only 7 were road cars.,0.0,Y,N,AutoFactFriday,,12:10:00,Friday,2015-12-18,N,669x669,4,0,400.0
"#AutoFactFriday 
When cars were first invented they had a steering stick instead of a steering wheel. Can you imagine using a joystick while you're driving?

#DontDriveDirty",0.25,Y,N,"AutoFactFriday, DontDriveDirty",,10:04:15,Friday,2016-08-12,N,542x542,8,0,800.0
"Are you ready for the holidays? On Monday we are having an ONLINE ONLY SALE.

50% OFF 30 Day Unlimited Protect Pass

Promo code: CYBER

http://ow.ly/eczv30gv7Md",0.1,N,N,,,07:40:24,Saturday,2017-11-25,N,1000x1000,18,0,1800.0
"Happy ""I forgot"" Day! Everyone does it. We're human. Give yourself a break! But don't forget to have fun this holiday weekend!",0.4583333333333333,N,N,,,20:17:52,Saturday,2016-07-02,N,483x483,3,0,300.0
"Watch me get clean 🚿

#Quackals #DontDriveDirty #QuickQuackCarWash #CarWashUtah #CarWashArizona #CarWashColorado #CarWashCalifornia #CarWashTexas",0.3666666666666667,Y,N,"Quackals, DontDriveDirty, QuickQuackCarWash, CarWashUtah, CarWashArizona, CarWashColorado, CarWashCalifornia, CarWashTexas",,09:06:18,Monday,2024-07-29,Y,1080x1920,63,2,6500.0
We are so grateful to have such wonderful people on our team! Thank you for all you do! #BehindTheQuack,0.5,Y,N,BehindTheQuack,,16:39:36,Saturday,2016-10-01,N,918x918,14,1,1500.0
"Unparalleled Protection + Longer Lasting Shine + An experience for all. 

Haven’t jammed to this Quick Quack song in years - should we bring it back?",0.05833333333333333,N,N,,,14:49:10,Monday,2023-06-05,Y,1080x1920,282,6,28800.0
We hope you're having a great weekend like we are!!!,1.0,N,N,,,09:33:51,Saturday,2016-07-09,N,918x918,5,0,500.0
Did anybody get married this weekend? You might need to come by for a car wash. Just sayin'...,0.25,N,N,,,08:58:35,Monday,2016-06-27,N,480x480,7,0,700.0
We have the best employees!! Definitely full of personality!,0.71875,N,N,,,09:18:10,Monday,2013-05-20,N,612x612,3,0,300.0
"If you wash your car more than twice a month, you are already saving money with an unlimited membership! And when you wash your car routinely, you are adding to your vehicle’s value and life. . There are plenty of reasons to become a member. Visit myqq.dontdrivedirty.com to start saving today. What will you do with the extra money you save?",0.3125,N,N,,,07:58:22,Monday,2022-05-16,N,1080x1350,89,1,9000.0
We are proud sponsors of the Dixie Ducks! Go Ducks!,1.0,N,N,,,10:31:37,Sunday,2015-06-14,N,640x640,1,0,100.0
Happy Eat A Red Apple Day!,0.4,N,N,,,17:27:38,Thursday,2016-12-01,N,1080x1080,9,0,900.0
"Meet Ellen, one of our amazing store leaders. Ellen started as a team member three years ago. Watch our video to learn more about Ellen and why she loves working at Quick Quack.",0.4777777777777778,N,N,,,08:31:09,Monday,2021-07-19,Y,1920x1080,74,5,7900.0
Quackals can be seen this summer hanging out at the Regal theater on Truxal Rd!,0.0,N,N,,,14:39:23,Saturday,2015-06-20,N,640x640,2,0,200.0
Happy Father's Day! What would we do without dads and their jokes? Drop your best dad jokes in the comments!,1.0,N,N,,,08:00:54,Sunday,2021-06-20,N,612x612,49,0,4900.0
#AutoFactFriday #dontdrivedirty,0.0,Y,N,"AutoFactFriday, dontdrivedirty",,12:16:49,Friday,2016-06-03,N,736x570,5,0,500.0
"We hope you had a great weekend! Today is an excellent day to wash your car!

#DontDriveDirty #",1.0,Y,N,"DontDriveDirty, ",,10:30:09,Monday,2018-05-14,N,1080x1090,24,0,2400.0
We brought the smell of the holidays to your cars this year! 🎄🎅 Check out our holiday edition air fresheners. Available in Candy Cane and Christmas Tree! 🎁⭐⛄ *While supplies last.,0.25,N,N,,,16:13:41,Tuesday,2019-12-10,N,1080x810,99,4,10300.0
"Quick Quack is getting into the Halloween spirit! 👻

We're closing early today at 5 p.m. to make way for the spooky festivities. Happy Halloween, and may your night be filled with thrilling adventures.",0.39333333333333337,N,N,,,09:20:44,Tuesday,2023-10-31,N,612x612,61,6,6700.0
"Today is the last day to take advantage of our Cyber Savings Event. Start the holiday season with a clean car, get up to 70% off Unlimited Car Washes by visiting the link in our bio. #cybermonday",0.18333333333333335,Y,N,cybermonday,,07:02:02,Monday,2021-11-29,N,1080x1065,28,1,2900.0
Happy President's Day! We’re open all day from 7am to 7pm. Come by and get your car Quick Quack Clean! #dontdrivedirty #presidentsday #dayoff,0.44791666666666663,Y,N,"dontdrivedirty, presidentsday, dayoff",,08:00:21,Monday,2020-02-17,N,1080x1080,35,1,3600.0
"Quick Quack is now in Ogden! Before officially opening our new location, we partnered with @ogdenwebercap to raise funds for a local family. Ranelle is a single mother of seven children; the family lost their home in a fire. We raised and matched $3,500 to help the family get back on their feet and find housing. Thank you to OWPAC for partnering with us, and for sharing Ranelle's story. #QQCares",0.09632034632034632,Y,Y,QQCares,ogdenwebercap,08:00:34,Friday,2021-07-30,Y,720x480,50,0,5000.0
"During our 12 Days of Giving, our Bay Area locations are raising funds for Alternative Family Services (@afs4kids), a non-profit helping foster children and families in the Bay Area and beyond. Former foster children are at higher risk of experiencing homelessness. With the ongoing housing crisis in the Bay Area, and the pandemic, young adults need help more than ever. The money we raise together will help reel them away from homelessness. Our Millbrae, Hayward and Vacaville locations will be collecting donations on behalf of Alternative Family Services and donating a portion of our membership sales. #QQCares #12DaysofGiving",0.2125,Y,N,"QQCares, 12DaysofGiving",,07:30:16,Wednesday,2020-12-02,N,1080x1080,41,0,4100.0
"✨ Revive Your Shine Giveaway - GIVEAWAY IS CLOSED. ✨

WINNER: @xtremedyme 

You and your friends could win three 30-day Ceramic Duck wash passes from Quick Quack! 🚗✨ 

How to Enter:
1️⃣ Is washing your car a part of your self-care routine? Comment your answer below.
2️⃣ Tag a friend who deserves a sparkling clean car.
3️⃣ Share and like this post and spread the word about the chance to win.
4️⃣ Make sure you’re following Quick Quack.

🗓️ Hurry, giveaway ends tomorrow at 11:59 p.m. The lucky winner will be randomly selected and announced on Instagram stories on January 25. This giveaway is not affiliated or endorsed by Instagram.

Don’t miss out on the chance to Revive your shine with a sparkling clean ride.🚗✨",0.3015151515151515,N,Y,,xtremedyme,09:38:49,Tuesday,2024-01-23,Y,1080x1920,126,96,22200.0
Instagram vs. Reality (no ducks were harmed during the making of this post 😉) #dontdrivedirty #quickquack,0.0,Y,N,"dontdrivedirty, quickquack",,07:00:48,Wednesday,2021-04-14,N,612x612,167,1,16800.0
"Sometimes dark clouds have a silver lining. While we wait for the calm after the storm, your car may be picking up mud from the road, dirtying your undercarriage. Try our undercarriage treatment with our Better and Lucky Duck washes, it removes build-up under your vehicle and protects it from rusting. #dontdrivedirty",0.24583333333333335,Y,N,dontdrivedirty,,09:08:48,Monday,2021-10-11,N,1080x1080,53,0,5300.0
"Want a car that shines and stays silky smooth for a while? Well, our Ceramic Duck wash has you covered.

Are you tired of washing your car and seeing a shine that disappears in no time? With Ceramic Duck, you’ll enjoy a noticeably deeper shine and a smoother finish that lasts.

So, what are you waiting for?

Give your ride the protection and shine it deserves. And trust us - you’ll feel SPECTACULAR.",0.25,N,N,,,15:59:30,Monday,2023-05-15,Y,1080x1920,83,16,9900.0
We’re lucky to have friends like you!! Happy St. Patrick’s Day!,0.7604166666666666,N,N,,,12:53:41,Thursday,2016-03-17,N,747x747,4,0,400.0
So many choices...,0.5,N,N,,,09:27:58,Saturday,2016-09-24,N,665x665,4,0,400.0
Meet Jeff! The newest member of the #quickquack team! First day & doing awesome! #dontdrivedirty,0.625,Y,N,"quickquack, dontdrivedirty",,18:18:41,Sunday,2015-04-19,N,640x640,6,0,600.0
"Happy Get to Know Your Customers Day! 🙌🏻 We want to hear from you, tell us one thing you love about Quick Quack and one thing we can improve on for a chance to win a $50 gift card. We'll be choosing 3 winners on Monday, July 22nd!",0.7083333333333333,N,N,,,14:50:28,Thursday,2019-07-18,N,1080x1080,39,8,4700.0
Ahhhh summer!! #dontdrivedirty #quickquack,0.0,Y,N,"dontdrivedirty, quickquack",,19:45:21,Tuesday,2015-06-16,N,640x640,3,0,300.0
"Thanks for the review, Dan!

Love Quackals and our car washes? Then leave us a review on Facebook, Google or Yelp!

#BehindTheQuack",0.4375,Y,N,BehindTheQuack,,10:09:50,Saturday,2017-07-29,N,404x248,17,1,1800.0
"Using our vacuums should be a breeze.
Get the most out of your spring cleaning with 50% off a Ceramic Duck Wash.",0.5,N,N,,,16:02:06,Wednesday,2024-04-17,Y,1080x1920,106,2,10800.0
"How FAST is Quick Quack? 3 Minutes FAST!

We know you're busy and don't have time to spend hours at the Car Wash while you wait for someone to clean you car. That's why use a conveyor that keeps the cars moving even if there are a few cars in line. The entire wash cycle lasts no longer than THREE MINUTES and since there is no waiting for the car in front of you to finish, you will rarely spend more than five minutes from the time you pull in to when you are back on your way.",0.185,N,N,,,10:10:06,Thursday,2018-04-26,N,1080x856,41,0,4100.0
"Quackenstien and his friends need your help cracking this Halloween-themed puzzle. Solve the puzzle and win a spooktacular prize.

How to win:
- Tag a friend to break the curse and comment with your numerical answer below. 👇

Giveaway ends: October 30 at 11:59 PM.",0.8,N,N,,,08:50:31,Monday,2023-10-30,N,1080x1350,40,32,7200.0
"Quick Quack's Haunted Car Wash ends tonight! Don't miss out on our family-friendly spooky event. Starting tonight at 7pm at participating locations only! 
Only in Amarillo, Katy, La Quinta, Fontana, Springville, Rancho Cordova, Chandler, and Corpus Christi #HauntedCarWash #QuickQuack #Halloween #dontdrivedirty",0.10416666666666666,Y,N,"HauntedCarWash, QuickQuack, Halloween, dontdrivedirty",,09:41:50,Friday,2020-10-30,Y,720x1356,155,10,16500.0
Shine inside and out. ✨,0.0,N,N,,,07:00:51,Monday,2022-02-07,N,1080x1080,51,1,5200.0
Traffic control at its best! #quickquack #dontdrivedirty,1.0,Y,N,"quickquack, dontdrivedirty",,14:14:07,Friday,2013-07-12,N,612x612,7,0,700.0
"EyeCare4Kids (@eyecare_4kids) provides eye care services for low-income and visually impaired children all over the country. They have a clinic in Midvale, Utah, where children can get eye exams, glasses and contact lenses free of charge. Visit any of our locations in Utah to support EyeCare4Kids. We will donate a portion of our membership sales during our 12 Days of Giving. Sign up for a membership and get your first month for $12, or make a donation to the organization. #QQCares #12DaysofGiving",0.21666666666666667,Y,N,"QQCares, 12DaysofGiving",,07:30:35,Saturday,2020-12-05,N,1080x1095,30,0,3000.0
"#TBT to our Layton, UT Ribbon Cutting!
˙
#DontDriveDirty #Layton #Utah",-0.75,Y,N,"TBT, DontDriveDirty, Layton, Utah",,18:46:49,Thursday,2018-09-13,N,1080x775,31,8,3900.0
"Who knew car washing had such a rich history?! 🤔
 
This activity has come a long way, from the first automated car wash in 1914 to today’s advanced systems. 

Drop a 🫧 and the year you first tried a car wash in the comments.",0.2197916666666667,N,N,,,09:22:29,Friday,2023-08-18,N,1080x1350,3,7,1000.0
Happy Labor Day! Did you have any fun weekend plans? Don't forget to stop by Quick Quack on the way back from your weekend adventures... no one wants to roll back into town in a dirty car #dontdrivedirty #quickquack,0.1761904761904762,Y,N,"dontdrivedirty, quickquack",,08:00:33,Monday,2020-09-07,N,1080x1080,107,0,10700.0
"It's pumpkin spice szn at Quick Quack! 🎃

Click the🔗 in the bio for a special treat.
#QuickQuackCarWash #pumpkinspice #Dontdrivedirty #pumpkinspiceseason",0.38690476190476186,Y,N,"QuickQuackCarWash, pumpkinspice, Dontdrivedirty, pumpkinspiceseason",,10:02:50,Sunday,2024-09-01,Y,1080x1920,65,11,7600.0
"Tip Tuesday: Hang out with people who make you forget to look at you phone. 
#TipTuesday
#DontDriveDirty",0.0,Y,N,"TipTuesday, DontDriveDirty",,10:49:15,Tuesday,2017-08-15,N,1000x833,32,0,3200.0
